movie_code,title,title_Eng,show_time,produce_year,open_date,produce_state,type,nation,genre,director,actor,show_type,watch_grade
20185801,할로우 차일드,The Hollow Child,88,2017,20180802,개봉예정,장편,캐나다,공포(호러)/판타지,제레미 루터,,,15세이상관람가
20187649,죽음의 리무진,Glass Coffin,75,2016,20180816,개봉예정,장편,스페인,스릴러/공포(호러),하리츠 쥬빌라가,파울라 본템피,,
20187641,극장판 도라에몽: 진구의 보물섬,,107,2018,20180815,개봉예정,장편,일본,애니메이션/SF/어드벤처,이마이 카즈아키,윤아영/김정아/조현정/최낙윤/이현주/임은정/김정은/이지현/이경태/강은애/박성영/이다은/손선영/김은연/정의한/김진홍/이승행/이창민/서반석/원에스더/미즈타 와사비/오오하라 메구미/카카즈 유미/키무라 스바루/세키 토모카즈/카네모토 히사코/유키 아오이/야마시타 다이키/오리카사 후미코/오토모 류자부로/하야미 사오리/나가사와 마사미/오오이즈미 요,"2D,디지털더빙",전체관람가
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,110,2018,20180808,개봉예정,장편,일본,애니메이션,타치카와 유즈루,타카야마 미나미/야마자키 와카나/코야마 리키야/푸루야 토루,"2D,디지털/2D,디지털더빙",12세이상관람가
20173732,살아남은 아이,Last Child,123,2017,20180830,개봉예정,장편,한국,드라마,신동석,최무성/김여진/성유빈,"2D,디지털",
20188004,인공지능 섹스돌,,79,2018,20180731,개봉,장편,한국,멜로/로맨스,김종민,,"2D,디지털",청소년관람불가
20186585,엄마의 유혹,,80,2018,20180731,개봉,장편,한국,멜로/로맨스,유해종,이은미/박주빈,"2D,디지털",청소년관람불가
20188021,섹스-이웃집 여자-감독판,,75,2018,20180731,개봉,장편,한국,멜로/로맨스,이전,,"2D,디지털",청소년관람불가
20188823,부드러운 여주인:단단한 물건을 원해,Okamisan 01,64,2017,20180731,개봉,장편,일본,멜로/로맨스/드라마,우미야마 테루카즈,,"2D,디지털",청소년관람불가
20188822,동창회:그녀와 하던 날,Rape Gurui,54,2016,20180731,개봉,장편,일본,멜로/로맨스/드라마,Z.아라이,오츠키 히비키,"2D,디지털",청소년관람불가
20187882,금지된 섹스,,86,2018,20180731,개봉,장편,한국,멜로/로맨스,김종민,,"2D,디지털",청소년관람불가
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,113,2018,20180808,개봉예정,장편,미국,뮤지컬,올 파커,아만다 사이프리드/릴리 제임스/메릴 스트립/피어스 브로스넌/제레미 어바인/콜린 퍼스/휴 스키너/스텔란 스카스가드/조쉬 딜란/줄리 월터스/알렉사 데이비스/크리스틴 바란스키/제시카 키나 윈/도미닉 쿠퍼/셰어/앤디 가르시아,"2D,디지털",12세이상관람가
20181822,산책하는 침략자,Before We Vanish,130,2017,20180816,개봉예정,장편,일본,드라마/SF,구로사와 기요시,나가사와 마사미/마츠다 류헤이,"2D,디지털",15세이상관람가
20187309,호스틸,Hostile,83,2017,20180823,개봉예정,장편,프랑스,미스터리/스릴러,,,"2D,디지털",
20179044,더 스퀘어,The Square,151,2017,20180802,개봉예정,장편,스웨덴/독일/프랑스/덴마크,코미디,루벤 외스틀룬드,클라에스 방/엘리자베스 모스/도미닉 웨스트,"2D,디지털",15세이상관람가
20187647,나를 차버린 스파이,The Spy Who Dumped Me,,2017,20180822,개봉예정,장편,미국,액션/코미디,수잔나 포겔,밀라 쿠니스/케이트 맥키넌,"2D,디지털",
20187470,주피터스 문,Jupiter's Moon,128,2017,20180802,개봉예정,장편,헝가리,SF/판타지,코르넬 문드럭초,모니카 발사이/메랍 니니트쩨/기오르기 세르하미,"2D,디지털",15세이상관람가
20184083,휘트니,Whitney,119,2018,20180823,개봉예정,장편,미국,드라마/다큐멘터리,케빈 맥도널드,휘트니 휴스턴/케빈 코스트너,"2D,디지털",15세이상관람가
20186463,원초적 비디오 테이프,Amateur,93,2016,20180718,개봉,장편,아르헨티나,스릴러,세바스티안 페릴로,,"2D,디지털",청소년관람불가
20170670,목격자,The Witness,111,2017,20180815,개봉예정,장편,한국,스릴러,조규장,이성민/김상호/진경/곽시양,"2D,디지털",15세이상관람가
20179101,공작,The Spy Gone North,137,2017,20180808,개봉예정,장편,한국,드라마,윤종빈,황정민/이성민/조진웅/주지훈,"2D,디지털",12세이상관람가
20153446,너의 결혼식,On Your Wedding Day,110,2017,20180822,개봉예정,장편,한국,멜로/로맨스,이석근,박보영/김영광/강기영/장성범/고규필/서은수,"2D,디지털",12세이상관람가
20187861,몬스터 헌트2: 요괴사냥단,Monster Hunt 2,110,2017,20180813,개봉예정,장편,홍콩,판타지/코미디/어드벤처/액션/SF,라맨 허,양조위/백백하/정백연,"2D,디지털",12세이상관람가
20184802,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,97,2018,20180808,개봉예정,장편,미국,애니메이션/코미디/가족/판타지,젠디 타타코브스키,아담 샌들러/셀레나 고메즈/앤디 샘버그/스티브 부세미/케빈 제임스/캐서린 한,"2D,디지털/2D,디지털더빙",전체관람가
20183264,더 시크릿 하우스,Marrowbone,110,2017,20180808,개봉예정,장편,스페인,드라마/공포(호러)/스릴러,세르지오 G. 산체즈,조지 맥케이/안야 테일러 조이,"2D,디지털",15세이상관람가
20183235,훔쳐보는 쉐어 하우스,Girls Share A Flat 4,60,2017,20180730,개봉,장편,일본,성인물(에로),오우치 아이리,,"2D,디지털",청소년관람불가
20188328,해외유학녀의 마사지,Populer beauty massage into a study abroad frustrated lady,63,2017,20180730,개봉,장편,일본,성인물(에로),드래곤 니시카와,,"2D,디지털",청소년관람불가
20188327,폭주미망인-다빌려드립니다,Widow boarding house? I also lend a valley,61,2017,20180730,개봉,장편,일본,성인물(에로),시즈미 다이케이,,"2D,디지털",청소년관람불가
20182339,정사 : 친구의 엄마 2 무삭제,,81,2018,20180730,개봉,장편,한국,멜로/로맨스,김부곤,,"2D,디지털",청소년관람불가
